Policy,GPE,LOC,ORG,FAC,MISC
Policy AG/LU-1: Agriculture and related activities are the primary land uses in Napa County.,Napa County,,Policy AG,,
"Policy AG/LU-2: “Agriculture” is defined as the raising of crops, trees, and livestock; the production and processing of agricultural products; and related marketing, sales and other accessory uses. Agriculture also includes farm management businesses and farm worker housing. Action Item AG/LU-2.1: Amend County Code to reflect the definition of “agriculture” as set forth within this plan, ensuring that wineries and other production facilities remain as conditional uses except as provided for in Policy AG/LU-16, and that marketing activities and other accessory uses remain incidental and subordinate to the main use.",,,"Policy AG, Policy AG/LU-16",,
Policy AG/LU-3: The County’s planning concepts and zoning standards shall be designed to minimize conflicts arising from encroachment of urban uses into agricultural areas. Land in proximity to existing urbanized areas currently in mixed agricultural and rural residential uses will be treated as buffer areas and further parcelization of these areas will be discouraged.,,,Policy AG/LU-3,,
"Policy AG/LU-4: The County will reserve agricultural lands for agricultural use including lands used for grazing and watershed/open space, except for those lands which are shown on the Land Use Map as planned for urban development.",,,Policy AG/,,
"Policy AG/LU-5: The County will promote an agricultural support system including physical components (such as farm labor housing, equipment supply and repair) and institutional components (such as 4-H, FFA, agricultural and natural resources education and experimentation).",,,"Policy AG, FFA",,
Policy AG/LU-6: The County will continue to study tax assessment policies which recognize the long- term intent of agricultural zoning and the fact that agricultural land uses require a minimum of public expenditure for protection and servicing.,,,Policy AG/LU-6,,
"Policy AG/LU-7: The County will research, evaluate, and pursue new approaches to ensure ever stronger protections for the County’s finite and irreplaceable agricultural resources. Approaches to be evaluated shall include implementation of a “Super Williamson Act” program, a conservation easement program or other permanent protections, and programs promoting the economic viability of agriculture. Action Item AG/LU-7.1: Work with interested stakeholders to undertake an evaluation of new voluntary approaches to protecting agriculture, including implementation of a “Super Williamson Act” program, a conservation easement program or other permanent protections, and programs promoting the economic viability of agriculture.",,,"Policy AG, Action Item AG",,
Policy AG/LU-8: The County’s minimum agricultural parcel sizes shall ensure that agricultural areas can be maintained as economic units.,,,Policy AG,,
"Policy AG/LU-9: The County shall evaluate discretionary development projects, re-zonings, and public projects to determine their potential for impacts on farmlands mapped by the State Farmland Mapping and Monitoring Program, while recognizing that the state’s farmland terminology and definitions are not always the most relevant to Napa County, and shall avoid converting farmland where feasible. Where conversion of farmlands mapped by the state cannot be avoided, the County shall require long-term preservation of one acre of existing farm land of equal or higher quality for each acre of state-designated farmland that would be converted to non- agricultural uses. This protection may consist of establishment of farmland easements or other similar mechanism, and the farmland to be preserved shall be located within the County and preserved prior to the proposed conversion. The County shall recommend this measure for implementation by the cities and town and LAFCO as part of annexations involving state-designated farmlands.","Napa County, LAFCO",,"Policy AG, the State Farmland Mapping, Monitoring Program",,
"Policy AG/LU-10: New wineries and other agricultural processing facilities as well as expansions of existing wineries and facilities in agricultural areas should be designed to convey their permanence and attractiveness. Action Item AG/LU-10.1: Maintain a data base of all wineries including their production capacity, marketing events and other characteristics that could influence analysis of cumulative effects or the winery’s effect on neighbors.",,,Policy AG/LU-10,,
