page,type,id,text
32,Goal,GOAL #1. THE COMMUNITY IS BALANCED AND SUSTAINABLE TO PROVIDE,"GOAL #1. THE COMMUNITY IS BALANCED AND SUSTAINABLE TO PROVIDE SAFE, HIGH QUALITY NEIGHBORHOODS, A MIX OF HOUSING TYPES SUFFICIENT TO MEET LOCAL NEEDS, A THRIVING LOCAL ECONOMY, AND SUSTAINABLE AGRICULTURAL VENTURES, WHILE PRESERVING THE NATURAL ENVIRONMENT, LOCAL WATERSHED RESOURCES, AND ECOLOGIC SYSTEMS."
32,Goal,GOAL #2. COMMUNITY DEVELOPMENT AND LAND USE PLANNING IS,"GOAL #2. COMMUNITY DEVELOPMENT AND LAND USE PLANNING IS COMPREHENSIVE, PURPOSEFUL, AND PACED TO STRENGTHEN COMMUNITY IDENTITY, SUSTAINABILITY, AND QUALITY OF LIFE."
32,Objective,"OBJECTIVE EGV-1: Establish the geographic boundary of Eastern Goleta Valley (EGV),","OBJECTIVE EGV-1: Establish the geographic boundary of Eastern Goleta Valley (EGV), inclusive of recognized subareas, and implement comprehensive planning for the planning area."
32,Policy,Policy EGV-1.1: Planning Area and Sub-area Map: The Eastern Goleta Valley,Policy EGV-1.1: Planning Area and Sub-area Map: The Eastern Goleta Valley Community Plan shall only apply within the delineated boundary in Figure 5 and considered relative to the following subareas: • Urban Area • Rural Area • Coastal Zone
32,Policy,Policy EGV-1.2: The Urban/Rural Boundary through EGV shall separate principally,"Policy EGV-1.2: The Urban/Rural Boundary through EGV shall separate principally urban land uses from those which are rural and/or agricultural in nature. This boundary shall represent the maximum extent of the EGV Urban Area, and the Urban/Rural Boundary shall not be extended until existing inventories of vacant land within the Urban Area are not adequate to accommodate needs. This Boundary shall not be modified except as part of a County-initiated amendment of the Community Plan."
32,Policy,Policy EGV-1.3: All Countywide and Coastal Plan policies apply to the non-coastal,"Policy EGV-1.3: All Countywide and Coastal Plan policies apply to the non-coastal and coastal areas, respectively, of EGV in addition to policies and programs of this community plan."
32,Policy,Policy EGV-1.4: The Development Standards contained within this Plan shall be,"Policy EGV-1.4: The Development Standards contained within this Plan shall be utilized to implement the policies of the Plan. Where appropriate, each of these standards shall be applied to the project under review II. COMMUNITY DEVELOPMENT AND LAND USE 19 A. Planning Area Boundaries and Permitted Land Uses"
33,Policy,Policy EGV-1.5: (COASTAL) The County shall implement the policies and,"Policy EGV-1.5: (COASTAL) The County shall implement the policies and standards in the Local Coastal Program, including the EGVCP, in a manner that avoids a taking of private property for public use without just compensation as required by applicable law. If an applicant asserts that the application of the policies and standards of the Local Coastal Program or EGVCP would preclude a “reasonable use” of property and constitute a taking of property, the applicant shall submit an application for an Economically Viable Use Determination pursuant to Article II, Sections 35-192.4 through 192.6 in conjunction with the associated Coastal Development Permit application. Any deviation from a policy or standard of the Local Coastal Program, including the EGVCP, to provide a reasonable use of property may only be allowed if the applications are approved by the County decision-maker consistent with Article II."
33,Objective,OBJECTIVE EGV-2: Establish a watershed-based approach for land use and development,OBJECTIVE EGV-2: Establish a watershed-based approach for land use and development planning and decision-making.
33,Policy,Policy EGV-2.1: The County shall consider the relationship of land use and,"Policy EGV-2.1: The County shall consider the relationship of land use and development decisions to the health and function of watersheds and sub-basins, consistent with the intent and policies of Section IV: Environmental Resources and Constraints."
33,Policy,"Policy EGV-2.2: The County shall work with South Coast agencies, including cities,","Policy EGV-2.2: The County shall work with South Coast agencies, including cities, districts, or other interested organizations, to address watershed- based planning issues to improve the quality of regional hydrologic conditions."
33,Objective,OBJECTIVE EGV-3: Enhance resource efficiency and minimize environmental impacts.,OBJECTIVE EGV-3: Enhance resource efficiency and minimize environmental impacts.
33,Policy,OBJECTIVE EGV-3: Enhance resource efficiency and minimize environmental impacts.,Policy EGV-3.1: All land uses and development shall occur in a manner which minimizes construction and operation-related impacts to the community.
33,Policy,Policy EGV-3.2: Clustering or relocation of development to less sensitive areas or,Policy EGV-3.2: Clustering or relocation of development to less sensitive areas or parcels to conserve open land and environmental resources shall be strongly encouraged without resulting in urban development patterns in the Rural Area.
34,Policy,"Policy EGV-3.3: Where a site or parcel has more than one land use designation (e.g.,","Policy EGV-3.3: Where a site or parcel has more than one land use designation (e.g., commercial and residential), the design of the site shall be coordinated through the use of similar landscape and design elements (e.g., access, plant selection, buffer strips, habitat/open space protection, architectural styles, etc.)"
34,Policy,Policy EGV-3.4: Stormwater runoff and surface water quality shall be managed,Policy EGV-3.4: Stormwater runoff and surface water quality shall be managed primarily with low impact site design and landscape planning.
34,DevStd,DevStd EGV-3A: Low-Impact Development Standards (LIDs): Development shall,"DevStd EGV-3A: Low-Impact Development Standards (LIDs): Development shall be designed and constructed to minimize or eliminate pollutants in stormwater through natural processes and maintain pre- development hydrologic characteristics, such as flow patterns, surface retention, and recharge rates, consistent with California State and County LID standards. Standards may include, but are not limited to: 1. Site planning to avoid, protect, and restore sensitive areas (e.g., wetlands and riparian corridors) 2. Maximization of pervious surfaces and the use of existing natural features to allow for onsite infiltration of water 3. Vegetative treatment (e.g., bioswales, vegetative buffers, constructed or artificial wetlands, etc.) 4. Mechanical or structural treatment (e.g., storm drain filters and inserts)"
34,Policy,Policy EGV-3.5: Energy and resource efficiency shall be maximized in development.,Policy EGV-3.5: Energy and resource efficiency shall be maximized in development.
34,Policy,Policy EGV-3.6: Green building design standards and technologies shall be,"Policy EGV-3.6: Green building design standards and technologies shall be encouraged and implemented in project planning (e.g., LEED project and neighborhood development certification through the U.S. Green Building Council, Built Green Santa Barbara, and Santa Barbara County’s Smart Build Santa Barbara Program, etc.)."
34,Objective,OBJECTIVE EGV-4: Strengthen the sense of community and uniqueness of EGV.,OBJECTIVE EGV-4: Strengthen the sense of community and uniqueness of EGV.
34,Policy,OBJECTIVE EGV-4: Strengthen the sense of community and uniqueness of EGV.,"Policy EGV-4.1: Land use and development shall complement existing neighborhoods and enhance aesthetics and viewsheds, where site suitability and layout, project scale, neighborhood land use characteristics, and urban design are factors considered in planning and design."
